sheet,column,dtype,non_null_count,sample_values
Index,Survey id,int64,46,738902
Index,Question code,object,46,Q1_00Z | C1_09AZ | Q1_40_RYBZ
Index,Link,object,46,Redirect
RYB,Janssen [PET]: AMIVANTAMAB NSCLC,object,187,Note: Statistical significance is performed for sample sizes > 20 with confidence interval as 95 | Q1_00Z | Mean
RYB,Unnamed: 1,object,177,"How much time (in minutes) did you spend with the Johnson & Johnson (Formerly Janssen) representative discussing RYBREVANT (amivantamab-vmjw) + LAZCLUZE (lazertinib)? | During your most recent interaction with the Johnson & Johnson (Formerly Janssen) sales representative, who initiated the discussion on MARIPOSA setting (RYBREVANT (amivantamab-vmjw) + LAZCLUZE (lazertinib) as 1L treatment in mNSCLC patients with common EGFR mutations)? | I initiated the discussion"
RYB,Unnamed: 2,object,23,B1 | B2 | B3
RYB,Unnamed: 3,object,23,Yes | No | I do not remember
RYB,Unnamed: 4,float64,0,
RYB,Unnamed: 5,float64,0,
RYB,Unnamed: 6,float64,0,
RYB,Quarterly - Q3 2025,object,170,Total | B | 103
RYB,Unnamed: 8,object,30,Varying Sample for Overall data | 47 | 4
RYB,Unnamed: 9,object,187,High Impact - LTIP | Others | C
RYB,Unnamed: 10,object,185,High Impact | D | 59
RYB,Unnamed: 11,object,26,Varying Sample for High Impact - LTIP | Others | 12
RYB,Unnamed: 12,object,34,High Impact | 25 | 4
RYB,Unnamed: 13,object,186,Academic_vs_Communty_PET_RF_2 | Academic | E
RYB,Unnamed: 14,object,185,Community | F | 71
RYB,Unnamed: 15,object,35,Varying Sample for Academic_vs_Communty_PET_RF_2 | Academic | 10
RYB,Unnamed: 16,object,44,Community | 37 | 3
RYB,Quarterly - Q4 2025,object,171,Total | G | 100
RYB,Unnamed: 18,object,71,Varying Sample for Overall data | 39 | 4
RYB,Unnamed: 19,object,185,High Impact - LTIP | Others | H
RYB,Unnamed: 20,object,184,High Impact | I | 63
RYB,Unnamed: 21,object,60,Varying Sample for High Impact - LTIP | Others | 12
RYB,Unnamed: 22,object,34,High Impact | 27 | 2
RYB,Unnamed: 23,object,188,Academic_vs_Communty_PET_RF_2 | Academic | J
RYB,Unnamed: 24,object,186,Community | K | 73
RYB,Unnamed: 25,object,43,Varying Sample for Academic_vs_Communty_PET_RF_2 | Academic | 12
RYB,Unnamed: 26,object,44,Community | 27 | 3
RYB,Unnamed: 27,float64,8,0.0 | 0.06000000000000005 | 0.14
RYB,Unnamed: 28,float64,8,-0.14 | -0.04999999999999999 | -0.08000000000000002
RYB,Unnamed: 29,float64,0,
RYB,Unnamed: 30,float64,0,
RYB,38.269999999999996,float64,0,
Additonal Analysis,Unnamed: 0,float64,0,
Additonal Analysis,Unnamed: 1,object,138,title | Overall quality of sales call | How knowledgeable the [COMPANY] rep was about [PRODUCT] for EGFR+ mNSCLC
Additonal Analysis,Unnamed: 2,object,158,RYBREVANT (N = 203) | Q3 2025 (N = 103) | decimal
Additonal Analysis,Unnamed: 3,object,167,"Q4 2025 (N = 100) | decimal | sorted, descending"
Additonal Analysis,Unnamed: 4,object,161,TAGRISSO (N = 146) | Q3 2025 (N = 73) | decimal
Additonal Analysis,Unnamed: 5,object,130,Q4 2025 (N = 73) | decimal | 0.726
Additonal Analysis,Unnamed: 6,object,97,0.09399999999999997 | 0.16620000000000001 | 0.07400000000000007
Additonal Analysis,Unnamed: 7,object,111,0.02389999999999992 | 0.023600000000000065 | 0.0524
Additonal Analysis,Unnamed: 8,object,80,0.02739999999999998 | -0.02739999999999998 | 0.05479999999999996
Additonal Analysis,Unnamed: 9,object,64,-0.026000000000000023 | -0.09509999999999996 | -0.09539999999999998
Additonal Analysis,Unnamed: 10,object,60,-0.07579999999999998 | -0.14339999999999997 | -0.09030000000000005
Additonal Analysis,Unnamed: 11,object,55,Q4 2025 | decimal | 0.6438
Additonal Analysis,Unnamed: 12,object,47,overlapped decimal | 0.6531 | 0.7347
Additonal Analysis,Unnamed: 13,object,43,non overlapped decimal | 0.625 | 0.7917
Additonal Analysis,Unnamed: 14,object,24,0.22460000000000002 | 0.1491 | 0.04239999999999999
Additonal Analysis,Unnamed: 15,object,26,-0.02300000000000002 | -0.024600000000000066 | 0.05500000000000005
Additonal Analysis,Unnamed: 16,object,7,Academic_vs_Communty_PET_RF_2 - Community | decimal | 0.6197
Additonal Analysis,Unnamed: 17,object,11,Q4 2025 | Academic_vs_Communty_PET_RF_2 - Academic | decimal
Additonal Analysis,Unnamed: 18,object,9,Academic_vs_Communty_PET_RF_2 - Community | decimal | 0.4521
